x,y,z
0,0,2.592e+06
-44278.1,0,5.184e+06
-132832,51.7061,7.77523e+06
-265654,199.931,1.03649e+07
-442732,480.251,1.29523e+07
-664046,916.688,1.55366e+07
-929562,1520.71,1.8117e+07
-1.23923e+06,2292.13,2.06929e+07
-1.59299e+06,3221.49,2.32633e+07
-1.99075e+06,4293.31,2.58277e+07
-2.43239e+06,5489.04,2.83851e+07
-2.9178e+06,6789.42,3.09349e+07
-3.44682e+06,8176.05,3.34763e+07
-4.01929e+06,9632.23,3.60085e+07
-4.63503e+06,11143.3,3.85309e+07
-5.29384e+06,12696.8,4.10426e+07
-5.99552e+06,14282,4.35429e+07
-6.73984e+06,15890.1,4.60311e+07
-7.52655e+06,17513.9,4.85065e+07
-8.35543e+06,19147.1,5.09683e+07
-9.22619e+06,20784.8,5.34158e+07
-1.01386e+07,22422.8,5.58484e+07
-1.10923e+07,24057.6,5.82652e+07
-1.2087e+07,25686.5,6.06656e+07
-1.31224e+07,27307.1,6.30488e+07
-1.41983e+07,28917.3,6.54143e+07
-1.53142e+07,30515.6,6.77613e+07
-1.64698e+07,32100.5,7.00891e+07
-1.76647e+07,33670.8,7.23971e+07
-1.88986e+07,35225.6,7.46846e+07
-2.01711e+07,36763.9,7.69509e+07
-2.14819e+07,38285.1,7.91953e+07
-2.28304e+07,39788.4,8.14174e+07
-2.42163e+07,41273.3,8.36163e+07
-2.56391e+07,42739.3,8.57915e+07
-2.70985e+07,44186,8.79423e+07
-2.85939e+07,45612.8,9.00682e+07
-3.0125e+07,47019.5,9.21686e+07
-3.16912e+07,48405.7,9.42428e+07
-3.3292e+07,49771,9.62902e+07
-3.4927e+07,51115.2,9.83104e+07
-3.65958e+07,52438,1.00303e+08
-3.82976e+07,53739.1,1.02267e+08
-4.00322e+07,55018.3,1.04201e+08
-4.17988e+07,56275.4,1.06107e+08
-4.35971e+07,57510,1.07982e+08
-4.54264e+07,58722,1.09827e+08
-4.72862e+07,59911.1,1.11641e+08
-4.91759e+07,61077.2,1.13423e+08
-5.1095e+07,62220,1.15173e+08
-5.30429e+07,63339.4,1.16891e+08
-5.5019e+07,64435.1,1.18575e+08
-5.70227e+07,65506.9,1.20226e+08
-5.90534e+07,66554.8,1.21844e+08
-6.11105e+07,67578.5,1.23427e+08
-6.31934e+07,68577.8,1.24975e+08
-6.53015e+07,69552.5,1.26488e+08
-6.74342e+07,70502.6,1.27966e+08
-6.95908e+07,71427.8,1.29408e+08
-7.17707e+07,72328.1,1.30814e+08
-7.39732e+07,73203.2,1.32183e+08
-7.61977e+07,74053,1.33515e+08
-7.84435e+07,74877.4,1.34809e+08
-8.07101e+07,75676.3,1.36066e+08
-8.29966e+07,76449.5,1.37286e+08
-8.53025e+07,77196.9,1.38467e+08
-8.76271e+07,77918.5,1.39609e+08
-8.99697e+07,78614,1.40713e+08
-9.23297e+07,79283.5,1.41777e+08
-9.47063e+07,79926.8,1.42803e+08
-9.70988e+07,80543.8,1.43788e+08
-9.95066e+07,81134.4,1.44734e+08
-1.01929e+08,81698.7,1.45641e+08
-1.04365e+08,82236.4,1.46507e+08
-1.06815e+08,82747.6,1.47332e+08
-1.09277e+08,83232.2,1.48117e+08
-1.11751e+08,83690.2,1.48862e+08
-1.14236e+08,84121.4,1.49566e+08
-1.16731e+08,84526,1.50228e+08
-1.19236e+08,84903.8,1.5085e+08
-1.2175e+08,85254.8,1.51431e+08
-1.24273e+08,85579.1,1.5197e+08
-1.26803e+08,85876.5,1.52468e+08
-1.2934e+08,86147.2,1.52924e+08
-1.31883e+08,86391.2,1.53339e+08
-1.34431e+08,86608.4,1.53713e+08
-1.36985e+08,86798.9,1.54045e+08
-1.39542e+08,86962.7,1.54335e+08
-1.42103e+08,87099.9,1.54584e+08
-1.44667e+08,87210.4,1.54791e+08
-1.47232e+08,87294.5,1.54957e+08
-1.49799e+08,87352,1.55081e+08
-1.52367e+08,87383.2,1.55164e+08
-1.54934e+08,87388,1.55205e+08
-1.57501e+08,87366.5,1.55205e+08
-1.60067e+08,87319,1.55164e+08
-1.6263e+08,87245.3,1.55081e+08
-1.6519e+08,87145.8,1.54958e+08
-1.67748e+08,87020.3,1.54793e+08
-1.703e+08,86869.2,1.54587e+08
-1.72849e+08,86692.5,1.54341e+08
-1.75391e+08,86490.4,1.54054e+08
-1.77928e+08,86263,1.53727e+08
-1.80458e+08,86010.4,1.53359e+08
-1.82981e+08,85732.8,1.52951e+08
-1.85495e+08,85430.5,1.52503e+08
-1.88001e+08,85103.4,1.52016e+08
-1.90498e+08,84751.9,1.51489e+08
-1.92984e+08,84376.1,1.50923e+08
-1.9546e+08,83976.3,1.50317e+08
-1.97925e+08,83552.5,1.49673e+08
-2.00378e+08,83105,1.48991e+08
-2.02819e+08,82634.1,1.48269e+08
-2.05247e+08,82139.9,1.4751e+08
-2.07661e+08,81622.7,1.46713e+08
-2.10061e+08,81082.6,1.45879e+08
-2.12446e+08,80520,1.45007e+08
-2.14816e+08,79935.1,1.44099e+08
-2.17171e+08,79328.1,1.43153e+08
-2.19508e+08,78699.2,1.42172e+08
-2.21829e+08,78048.8,1.41154e+08
-2.24132e+08,77377,1.40101e+08
-2.26418e+08,76684.2,1.39013e+08
-2.28684e+08,75970.6,1.3789e+08
-2.30932e+08,75236.5,1.36732e+08
-2.3316e+08,74482.2,1.3554e+08
-2.35367e+08,73708,1.34314e+08
-2.37555e+08,72914,1.33054e+08
-2.39721e+08,72100.8,1.31762e+08
-2.41865e+08,71268.4,1.30437e+08
-2.43987e+08,70417.2,1.29079e+08
-2.46087e+08,69547.6,1.2769e+08
-2.48164e+08,68659.8,1.26269e+08
-2.50217e+08,67754.1,1.24817e+08
-2.52247e+08,66830.8,1.23335e+08
-2.54252e+08,65890.3,1.21822e+08
-2.56232e+08,64932.8,1.2028e+08
-2.58188e+08,63958.7,1.18708e+08
-2.60117e+08,62968.2,1.17108e+08
-2.62021e+08,61961.8,1.15479e+08
-2.63898e+08,60939.6,1.13822e+08
-2.65749e+08,59902,1.12138e+08
-2.67572e+08,58849.4,1.10426e+08
-2.69368e+08,57782.1,1.08688e+08
-2.71136e+08,56700.3,1.06924e+08
-2.72876e+08,55604.5,1.05135e+08
-2.74587e+08,54494.8,1.0332e+08
-2.76269e+08,53371.7,1.01481e+08
-2.77922e+08,52235.5,9.96171e+07
-2.79546e+08,51086.4,9.773e+07
-2.8114e+08,49924.9,9.58196e+07
-2.82703e+08,48751.2,9.38866e+07
-2.84237e+08,47565.7,9.19315e+07
-2.85739e+08,46368.7,8.99547e+07
-2.87211e+08,45160.5,8.79568e+07
-2.88651e+08,43941.4,8.59382e+07
-2.9006e+08,42711.8,8.38996e+07
-2.91437e+08,41472,8.18413e+07
-2.92783e+08,40222.2,7.97639e+07
-2.94096e+08,38962.9,7.76679e+07
-2.95376e+08,37694.4,7.55539e+07
-2.96624e+08,36416.9,7.34224e+07
-2.9784e+08,35130.9,7.12739e+07
-2.99022e+08,33836.5,6.91088e+07
-3.00171e+08,32534.2,6.69278e+07
-3.01286e+08,31224.3,6.47314e+07
-3.02368e+08,29907,6.25201e+07
-3.03417e+08,28582.8,6.02944e+07
-3.04431e+08,27251.8,5.80548e+07
-3.05412e+08,25914.6,5.58019e+07
-3.06358e+08,24571.2,5.35362e+07
-3.07271e+08,23222.2,5.12583e+07
-3.08148e+08,21867.7,4.89686e+07
-3.08992e+08,20508.1,4.66677e+07
-3.09801e+08,19143.8,4.43561e+07
-3.10575e+08,17775,4.20344e+07
-3.11314e+08,16402,3.97031e+07
-3.12018e+08,15025.2,3.73626e+07
-3.12688e+08,13644.9,3.50136e+07
-3.13323e+08,12261.3,3.26566e+07
-3.13922e+08,10874.8,3.0292e+07
-3.14487e+08,9485.73,2.79204e+07
-3.15016e+08,8094.33,2.55424e+07
-3.15511e+08,6700.93,2.31584e+07
-3.1597e+08,5305.83,2.0769e+07
-3.16394e+08,3909.34,1.83747e+07
-3.16783e+08,2511.75,1.5976e+07
-3.17137e+08,1113.37,1.35734e+07
-3.17455e+08,-285.519,1.11674e+07
-3.17738e+08,-1684.61,8.75862e+06
-3.17987e+08,-3083.61,6.34748e+06
-3.182e+08,-4482.22,3.93452e+06
-3.18378e+08,-5880.16,1.52024e+06
-3.18521e+08,-7277.14,-894865
-3.18629e+08,-8672.86,-3.31028e+06
-3.18702e+08,-10067,-5.72552e+06
-3.1874e+08,-11459.4,-8.14006e+06
-3.18744e+08,-12849.7,-1.05534e+07
-3.18713e+08,-14237.5,-1.29651e+07
-3.18647e+08,-15622.7,-1.53747e+07
-3.18546e+08,-17005,-1.77816e+07
-3.18411e+08,-18384.1,-2.01853e+07
-3.18242e+08,-19759.6,-2.25855e+07
-3.18039e+08,-21131.4,-2.49815e+07
-3.17801e+08,-22499.2,-2.7373e+07
-3.1753e+08,-23862.6,-2.97595e+07
-3.17225e+08,-25221.5,-3.21404e+07
-3.16885e+08,-26575.6,-3.45154e+07
-3.16513e+08,-27924.6,-3.68839e+07
-3.16107e+08,-29268.2,-3.92455e+07
-3.15667e+08,-30606.3,-4.15997e+07
-3.15195e+08,-31938.5,-4.39462e+07
-3.14689e+08,-33264.5,-4.62844e+07
-3.14151e+08,-34584.3,-4.86138e+07
-3.1358e+08,-35897.4,-5.09342e+07
-3.12976e+08,-37203.6,-5.32449e+07
-3.1234e+08,-38502.8,-5.55456e+07
-3.11673e+08,-39794.6,-5.78358e+07
-3.10973e+08,-41078.9,-6.01152e+07
-3.10241e+08,-42355.3,-6.23833e+07
-3.09478e+08,-43623.7,-6.46396e+07
-3.08684e+08,-44883.8,-6.68838e+07
-3.07859e+08,-46135.4,-6.91154e+07
-3.07003e+08,-47378.3,-7.1334e+07
-3.06116e+08,-48612.3,-7.35393e+07
-3.05199e+08,-49837.1,-7.57308e+07
-3.04252e+08,-51052.4,-7.79082e+07
-3.03275e+08,-52258.2,-8.0071e+07
-3.02268e+08,-53454.2,-8.22188e+07
-3.01232e+08,-54640.1,-8.43513e+07
-3.00166e+08,-55815.8,-8.64681e+07
-2.99072e+08,-56981,-8.85688e+07
-2.97949e+08,-58135.6,-9.0653e+07
-2.96797e+08,-59279.4,-9.27204e+07
-2.95618e+08,-60412.1,-9.47706e+07
-2.9441e+08,-61533.6,-9.68033e+07
-2.93175e+08,-62643.6,-9.8818e+07
-2.91913e+08,-63742,-1.00815e+08
-2.90624e+08,-64828.6,-1.02792e+08
-2.89308e+08,-65903.2,-1.04751e+08
-2.87965e+08,-66965.7,-1.06691e+08
-2.86596e+08,-68015.8,-1.08611e+08
-2.85202e+08,-69053.3,-1.10511e+08
-2.83782e+08,-70078.2,-1.12391e+08
-2.82337e+08,-71090.2,-1.14251e+08
-2.80866e+08,-72089.1,-1.16089e+08
-2.79371e+08,-73074.9,-1.17906e+08
-2.77852e+08,-74047.3,-1.19702e+08
-2.76309e+08,-75006.1,-1.21476e+08
-2.74742e+08,-75951.3,-1.23228e+08
-2.73152e+08,-76882.7,-1.24958e+08
-2.71539e+08,-77800.1,-1.26664e+08
-2.69903e+08,-78703.3,-1.28348e+08
-2.68245e+08,-79592.3,-1.30009e+08
-2.66565e+08,-80466.8,-1.31646e+08
-2.64863e+08,-81326.8,-1.3326e+08
-2.63139e+08,-82172.1,-1.34849e+08
-2.61395e+08,-83002.5,-1.36414e+08
-2.5963e+08,-83818,-1.37955e+08
-2.57845e+08,-84618.5,-1.3947e+08
-2.5604e+08,-85403.7,-1.40961e+08
-2.54215e+08,-86173.6,-1.42427e+08
-2.52371e+08,-86928,-1.43867e+08
-2.50508e+08,-87666.8,-1.45281e+08
-2.48627e+08,-88390,-1.4667e+08
-2.46727e+08,-89097.4,-1.48032e+08
-2.4481e+08,-89788.9,-1.49368e+08
-2.42875e+08,-90464.3,-1.50677e+08
-2.40923e+08,-91123.7,-1.5196e+08
-2.38954e+08,-91766.9,-1.53215e+08
-2.36969e+08,-92393.7,-1.54444e+08
-2.34969e+08,-93004.2,-1.55645e+08
-2.32952e+08,-93598.2,-1.56818e+08
-2.3092e+08,-94175.6,-1.57964e+08
-2.28874e+08,-94736.3,-1.59082e+08
-2.26813e+08,-95280.3,-1.60171e+08
-2.24738e+08,-95807.5,-1.61233e+08
-2.22649e+08,-96317.8,-1.62266e+08
-2.20547e+08,-96811.1,-1.63271e+08
-2.18432e+08,-97287.4,-1.64247e+08
-2.16305e+08,-97746.5,-1.65194e+08
-2.14165e+08,-98188.5,-1.66112e+08
-2.12014e+08,-98613.3,-1.67001e+08
-2.09851e+08,-99020.8,-1.67861e+08
-2.07677e+08,-99410.9,-1.68691e+08
-2.05493e+08,-99783.7,-1.69492e+08
-2.03298e+08,-100139,-1.70263e+08
-2.01094e+08,-100477,-1.71005e+08
-1.98881e+08,-100797,-1.71717e+08
-1.96658e+08,-101100,-1.72399e+08
-1.94427e+08,-101385,-1.7305e+08
-1.92187e+08,-101652,-1.73672e+08
-1.8994e+08,-101902,-1.74264e+08
-1.87685e+08,-102134,-1.74825e+08
-1.85423e+08,-102348,-1.75356e+08
-1.83155e+08,-102544,-1.75857e+08
-1.8088e+08,-102723,-1.76327e+08
-1.786e+08,-102884,-1.76766e+08
-1.76314e+08,-103027,-1.77175e+08
-1.74023e+08,-103152,-1.77553e+08
-1.71727e+08,-103260,-1.77901e+08
-1.69427e+08,-103349,-1.78218e+08
-1.67124e+08,-103421,-1.78504e+08
-1.64817e+08,-103474,-1.78759e+08
-1.62507e+08,-103510,-1.78984e+08
-1.60194e+08,-103528,-1.79178e+08
-1.57879e+08,-103529,-1.7934e+08
-1.55562e+08,-103511,-1.79472e+08
-1.53244e+08,-103475,-1.79573e+08
-1.50925e+08,-103422,-1.79643e+08
-1.48605e+08,-103351,-1.79683e+08
-1.46285e+08,-103262,-1.79691e+08
-1.43965e+08,-103156,-1.79669e+08
-1.41646e+08,-103031,-1.79615e+08
-1.39328e+08,-102889,-1.79531e+08
-1.37011e+08,-102729,-1.79416e+08
-1.34696e+08,-102552,-1.7927e+08
-1.32382e+08,-102357,-1.79094e+08
-1.30072e+08,-102145,-1.78887e+08
-1.27764e+08,-101915,-1.78649e+08
-1.2546e+08,-101667,-1.78381e+08
-1.2316e+08,-101402,-1.78082e+08
-1.20863e+08,-101120,-1.77753e+08
-1.18571e+08,-100820,-1.77393e+08
-1.16285e+08,-100503,-1.77003e+08
-1.14003e+08,-100169,-1.76582e+08
-1.11727e+08,-99818,-1.76132e+08
-1.09457e+08,-99449.8,-1.75651e+08
-1.07194e+08,-99064.5,-1.7514e+08
-1.04937e+08,-98662.2,-1.746e+08
-1.02688e+08,-98243.1,-1.74029e+08
-1.00446e+08,-97807.2,-1.73429e+08
-9.82119e+07,-97354.5,-1.728e+08
-9.59865e+07,-96885.3,-1.7214e+08
-9.37698e+07,-96399.4,-1.71452e+08
-9.15622e+07,-95897.1,-1.70734e+08
-8.93641e+07,-95378.4,-1.69987e+08
-8.71758e+07,-94843.4,-1.69211e+08
-8.49978e+07,-94292.2,-1.68406e+08
-8.28304e+07,-93724.9,-1.67572e+08
-8.0674e+07,-93141.6,-1.6671e+08
-7.85289e+07,-92542.4,-1.65819e+08
-7.63954e+07,-91927.4,-1.649e+08
-7.42741e+07,-91296.6,-1.63953e+08
-7.21652e+07,-90650.3,-1.62978e+08
-7.0069e+07,-89988.4,-1.61975e+08
-6.7986e+07,-89311.2,-1.60944e+08
-6.59165e+07,-88618.7,-1.59886e+08
-6.38608e+07,-87911.1,-1.58801e+08
-6.18193e+07,-87188.5,-1.57688e+08
-5.97923e+07,-86450.9,-1.56549e+08
-5.77803e+07,-85698.6,-1.55383e+08
-5.57834e+07,-84931.6,-1.5419e+08
-5.38021e+07,-84150.1,-1.52971e+08
-5.18367e+07,-83354.2,-1.51726e+08
-4.98875e+07,-82544,-1.50455e+08
-4.79549e+07,-81719.8,-1.49158e+08
-4.60392e+07,-80881.5,-1.47836e+08
-4.41407e+07,-80029.3,-1.46488e+08
-4.22598e+07,-79163.5,-1.45116e+08
-4.03967e+07,-78284.1,-1.43718e+08
-3.85518e+07,-77391.3,-1.42296e+08
